Filename,Vague Score,Cosine Similarity
Resume_of_ID_476.pdf,3,0.1813
Resume_of_ID_477.pdf,1,0.1067
Resume_of_ID_478.pdf,7,0.0995
Resume_of_ID_479.pdf,4,0.1692
Resume_of_ID_48.pdf,2,0.0757
Resume_of_ID_480.pdf,0,0.0585
Resume_of_ID_481.pdf,5,0.0926
Resume_of_ID_482.pdf,6,0.1356
Resume_of_ID_483.pdf,3,0.0692
Resume_of_ID_484.pdf,2,0.07
Resume_of_ID_485.pdf,3,0.0837
Resume_of_ID_486.pdf,4,0.1214
Resume_of_ID_487.pdf,1,0.0739
Resume_of_ID_488.pdf,1,0.0829
Resume_of_ID_489.pdf,1,0.092
Resume_of_ID_49.pdf,8,0.1258
Resume_of_ID_490.pdf,5,0.106
Resume_of_ID_491.pdf,9,0.1266
Resume_of_ID_492.pdf,2,0.0539
Resume_of_ID_493.pdf,4,0.1109
Resume_of_ID_494.pdf,2,0.0912
Resume_of_ID_495.pdf,1,0.102
Resume_of_ID_496.pdf,0,0.0914
Resume_of_ID_497.pdf,5,0.1175
Resume_of_ID_498.pdf,4,0.0619
Resume_of_ID_499.pdf,3,0.0843
Resume_of_ID_5.pdf,5,0.0808
Resume_of_ID_50.pdf,4,0.1243
Resume_of_ID_500.pdf,3,0.0874
Resume_of_ID_501.pdf,9,0.1011
Resume_of_ID_502.pdf,0,0.0749
Resume_of_ID_503.pdf,0,0.0914
Resume_of_ID_504.pdf,3,0.0892
Resume_of_ID_505.pdf,4,0.1119
Resume_of_ID_506.pdf,0,0.0854
Resume_of_ID_507.pdf,3,0.0889
Resume_of_ID_508.pdf,6,0.1057
Resume_of_ID_509.pdf,2,0.0738
Resume_of_ID_51.pdf,4,0.1018
Resume_of_ID_510.pdf,3,0.0672
Resume_of_ID_511.pdf,2,0.103
Resume_of_ID_512.pdf,3,0.116
Resume_of_ID_513.pdf,5,0.1478
Resume_of_ID_514.pdf,0,0.0642
Resume_of_ID_515.pdf,3,0.0867
Resume_of_ID_516.pdf,3,0.082
Resume_of_ID_517.pdf,2,0.1076
Resume_of_ID_518.pdf,6,0.0759
Resume_of_ID_519.pdf,3,0.1241
Resume_of_ID_52.pdf,3,0.0746
Resume_of_ID_520.pdf,6,0.0966
Resume_of_ID_521.pdf,6,0.1138
Resume_of_ID_522.pdf,3,0.0842
Resume_of_ID_523.pdf,1,0.0542
Resume_of_ID_524.pdf,0,0.0902
Resume_of_ID_525.pdf,6,0.081
Resume_of_ID_526.pdf,7,0.1286
Resume_of_ID_527.pdf,5,0.0763
Resume_of_ID_528.pdf,3,0.09
Resume_of_ID_529.pdf,7,0.1099
Resume_of_ID_53.pdf,7,0.1235
Resume_of_ID_530.pdf,6,0.1191
Resume_of_ID_531.pdf,1,0.0835
Resume_of_ID_532.pdf,2,0.093
Resume_of_ID_533.pdf,2,0.1054
Resume_of_ID_534.pdf,2,0.1095
Resume_of_ID_535.pdf,4,0.1428
Resume_of_ID_536.pdf,3,0.0751
Resume_of_ID_537.pdf,0,0.1002
Resume_of_ID_538.pdf,1,0.0884
Resume_of_ID_539.pdf,1,0.1271
Resume_of_ID_54.pdf,2,0.0709
Resume_of_ID_540.pdf,8,0.1236
Resume_of_ID_541.pdf,1,0.0641
Resume_of_ID_542.pdf,7,0.0626
Resume_of_ID_543.pdf,7,0.0974
Resume_of_ID_544.pdf,5,0.1059
Resume_of_ID_545.pdf,0,0.0649
Resume_of_ID_546.pdf,5,0.0926
Resume_of_ID_547.pdf,5,0.1062
Resume_of_ID_548.pdf,1,0.1052
Resume_of_ID_549.pdf,2,0.0792
Resume_of_ID_55.pdf,4,0.1048
Resume_of_ID_550.pdf,1,0.1153
Resume_of_ID_551.pdf,1,0.0603
Resume_of_ID_552.pdf,1,0.1236
Resume_of_ID_553.pdf,11,0.1318
Resume_of_ID_554.pdf,2,0.106
Resume_of_ID_555.pdf,3,0.1086
