resume_id,similarity_score,Vague_Score,reciprocal_score,normalized_vague_score,normalized_similarity_score,risk_score
370,0.2551,1,1,0.083333333,0.121269317,0.664365341
371,0.3242,3,0,0.25,0.202784004,0.473607998
372,0.2821,1,1,0.083333333,0.153120208,0.648439896
373,1,2,0,0.166666667,1,0.05
374,0.3481,3,0,0.25,0.23097794,0.45951103
375,0.2017,2,0,0.166666667,0.058275333,0.520862334
376,0.3804,1,0,0.083333333,0.269081043,0.390459478
377,0.2883,4,0,0.333333333,0.160434116,0.519782942
378,0.3202,3,0,0.25,0.198065353,0.475967324
379,0.2583,6,0,0.5,0.125044237,0.587477882
380,0.5896,3,0,0.25,0.515866462,0.317066769
381,0.3439,1,0,0.083333333,0.226023357,0.411988321
382,0.4808,6,0,0.5,0.38751917,0.456240415
383,0.5345,6,0,0.5,0.450867052,0.424566474
384,0.2905,4,0,0.333333333,0.163029374,0.518485313
385,0.4016,0,0,0,0.29408989,0.352955055
386,0.3181,0,0,0,0.195588062,0.402205969
387,0.4041,1,0,0.083333333,0.297039047,0.376480476
388,0.286,7,0,0.583333333,0.157720892,0.596139554
389,0.2915,2,0,0.166666667,0.164209036,0.467895482
390,0.3787,8,0,0.666666667,0.267075616,0.566462192
391,0.4511,3,0,0.25,0.35248319,0.398758405
392,0.3267,0,0,0,0.20573316,0.39713342
393,0.4045,6,0,0.5,0.297510912,0.501244544
394,0.4032,1,0,0.083333333,0.29597735,0.377011325
395,0.38,3,0,0.25,0.268609178,0.440695411
396,0.3148,4,0,0.333333333,0.191695175,0.504152412
397,0.409,3,1,0.25,0.302819394,0.623590303
398,0.2623,0,0,0,0.129762888,0.435118556
399,0.4172,1,0,0.083333333,0.312492627,0.368753686
400,0.2948,3,0,0.25,0.168101923,0.490949039
401,0.4996,1,0,0.083333333,0.409696827,0.320151586
402,0.2521,5,0,0.416666667,0.117730329,0.566134836
403,0.2573,5,0,0.416666667,0.123864575,0.563067713
404,0.2698,5,0,0.416666667,0.138610357,0.555694822
405,0.4702,4,0,0.333333333,0.375014746,0.412492627
406,0.2162,6,0,0.5,0.075380441,0.61230978
407,0.2538,1,0,0.083333333,0.119735756,0.465132122
408,0.3772,1,0,0.083333333,0.265306122,0.392346939
409,0.3194,3,0,0.25,0.197121623,0.476439189
410,0.3367,4,0,0.333333333,0.217529786,0.491235107
411,0.4945,5,0,0.416666667,0.403680547,0.423159727
412,0.4895,4,0,0.333333333,0.397782234,0.401108883
413,0.3014,2,0,0.166666667,0.175887696,0.462056152
414,0.3077,5,0,0.416666667,0.183319571,0.533340215
415,0.4381,5,0,0.416666667,0.337147576,0.456426212
416,0.3644,2,0,0.166666667,0.250206441,0.42489678
417,0.4484,0,0,0,0.349298101,0.32535095
418,0.3215,2,0,0.166666667,0.199598915,0.450200543
419,0.4462,3,0,0.25,0.346702843,0.401648579
420,0.2835,1,0,0.083333333,0.154771735,0.447614132
421,0.5174,7,0,0.583333333,0.430694821,0.459652589
422,0.3136,4,0,0.333333333,0.19027958,0.50486021
423,0.3028,2,0,0.166666667,0.177539224,0.461230388
424,0.3628,0,0,0,0.248318981,0.37584051
425,0.3314,5,0,0.416666667,0.211277575,0.519361213
426,0.3154,6,0,0.5,0.192402973,0.553798514
427,0.2258,3,0,0.25,0.086705202,0.531647399
428,0.3702,2,0,0.166666667,0.257048484,0.421475758
429,0.4464,3,0,0.25,0.346938776,0.401530612
430,0.2712,4,0,0.333333333,0.140261885,0.529869057
431,0.3559,1,0,0.083333333,0.240179309,0.404910345
432,0.4791,1,0,0.083333333,0.385513743,0.332243128
433,0.4803,1,0,0.083333333,0.386929338,0.331535331
434,0.3204,8,0,0.666666667,0.198301286,0.600849357
435,0.3152,5,0,0.416666667,0.19216704,0.52891648
436,0.2722,9,0,0.75,0.141441548,0.654279226
437,0.3092,2,0,0.166666667,0.185089065,0.457455468
438,0.3959,4,0,0.333333333,0.287365813,0.456317093
439,0.2681,2,0,0.166666667,0.136604931,0.481697535
440,0.4637,1,0,0.083333333,0.367346939,0.34132653
441,0.3524,0,0,0,0.23605049,0.381974755
442,0.3438,5,0,0.416666667,0.225905391,0.512047305
443,0.2489,4,0,0.333333333,0.113955409,0.543022295
444,0.3175,3,0,0.25,0.194880264,0.477559868
445,0.4216,5,0,0.416666667,0.317683143,0.466158429
446,0.1962,4,0,0.333333333,0.051787189,0.574106405
447,0.4095,3,0,0.25,0.303409225,0.423295388
448,0.3548,9,0,0.75,0.23888168,0.60555916
449,0.3577,0,0,0,0.242302701,0.378848649
450,0.3885,0,1,0,0.27863631,0.560681845
451,1,3,0,0.25,1,0.075
452,0.4085,4,0,0.333333333,0.302229562,0.448885219
453,0.4734,0,0,0,0.378789666,0.310605167
454,0.3134,3,0,0.25,0.190043648,0.479978176
455,0.4041,6,0,0.5,0.297039047,0.501480477
456,0.4485,2,0,0.166666667,0.349416067,0.375291967
457,0.3241,4,0,0.333333333,0.202666038,0.498666981
458,0.2547,3,0,0.25,0.120797452,0.514601274
459,0.1683,2,0,0.166666667,0.018874602,0.540562699
460,0.458,3,0,0.25,0.360622862,0.394688569
461,0.325,5,0,0.416666667,0.203727734,0.523136133
462,0.2207,0,0,0,0.080688923,0.459655539
463,0.6216,3,0,0.25,0.553615666,0.298192167
464,0.4103,3,0,0.25,0.304352955,0.422823523
465,0.3848,2,0,0.166666667,0.274271558,0.412864221
466,0.2968,6,0,0.5,0.170461248,0.564769376
467,0.3411,3,1,0.25,0.222720302,0.663639849
468,0.3652,3,0,0.25,0.251150171,0.449424915
469,0.4904,6,1,0.5,0.398843931,0.650578035
470,0.2955,6,0,0.5,0.168927687,0.565536157
471,0.3383,3,0,0.25,0.219417247,0.465291377
472,0.3803,1,0,0.083333333,0.268963077,0.390518461
473,0.2603,0,0,0,0.127403563,0.436298219
474,1,6,0,0.5,1,0.15
475,0.31,7,0,0.583333333,0.186032795,0.581983602
476,0.4691,5,0,0.416666667,0.373717117,0.438141442
477,0.3876,3,0,0.25,0.277574614,0.436212693
478,0.4055,7,0,0.583333333,0.298690574,0.525654713
479,0.228,7,0,0.583333333,0.08930046,0.63034977
480,0.3529,6,0,0.5,0.236640321,0.53167984
481,0.3982,1,0,0.083333333,0.290079037,0.379960481
482,0.261,2,0,0.166666667,0.128229326,0.485885337
483,0.2849,2,0,0.166666667,0.156423263,0.471788369
484,0.3328,2,1,0.166666667,0.212929102,0.643535449
485,0.4247,4,0,0.333333333,0.321340097,0.439329951
486,0.3494,3,0,0.25,0.232511502,0.458744249
487,0.4621,0,0,0,0.365459479,0.317270261
488,0.3562,1,0,0.083333333,0.240533208,0.404733396
489,0.2883,1,0,0.083333333,0.160434116,0.444782942
490,0.4579,2,0,0.166666667,0.360504896,0.369747552
491,0.3636,8,0,0.666666667,0.249262711,0.575368645
492,0.3824,1,0,0.083333333,0.271440368,0.389279816
493,0.3672,7,0,0.583333333,0.253509496,0.548245252
494,0.3702,7,0,0.583333333,0.257048484,0.546475758
495,0.3326,5,1,0.416666667,0.21269317,0.718653415
496,0.1968,0,0,0,0.052494986,0.473752507
497,0.2965,5,0,0.416666667,0.170107349,0.539946326
498,0.2748,5,0,0.416666667,0.144508671,0.552745665
